Ticket Number,Date,Application,Subject,Description,Steps Taken,Proposed Fix,ErrorNo
TK1609,12/4/2020,SAP_LINUX,Oracle 10g R2 on Oracle Enterprise Linux 5.x,Is Oracle Enterprise Linux 5.x supported as OS for Oracle when it comes to SAP?? It is RedHat Enterprise Linux 5.x with a 6 month delay over Oracle for Major release changes…,,LINUX REDHAT EL5 is supported with oracle 10g (At least Oracle patchset 10.2.0.2 required.),
TK1610,12/5/2020,SAP_ECC,Linux upgradation,"I installed ecc5.0 on Red Hat Linux AS 4 with oracle 9.2.0.6.0 platform now i am planning to upgrade to Oracle Enterprise Linux AS 5,is that possible ?,",,"Yes, It is possible to upgrade Linux. To update follow the instruction",
TK1611,12/6/2020,SAP_LINUX,Upgrade SAP,"we are planning to upgrade OS suse from suse 11 sp4 for machine power ppc64le big endian to suse 15 sp4 for machine power ppc64le little endian...
our SAP is :

EHP7 for SAP ERP 6.0

there is possible or not ?",,"please refer to SUSE upgrade guide:

https://documentation.suse.com/sles/15-SP4/html/SLES-all/cha-upgrade-paths.html

Cross-architecture upgrades, such as upgrading from a 32-bit version of SUSE Linux Enterprise Server to the 64-bit version, or upgrading from big endian to little endian are not supported!

Specifically, SLE 11 on POWER (big endian) to SLE 15 SP4 on POWER (new: little endian!) is not supported.

Also, since SUSE Linux Enterprise 15 is 64-bit only, upgrades from any 32-bit SUSE Linux Enterprise 11 systems to SUSE Linux Enterprise 15 and later are not supported.

To make a cross-architecture upgrade, you need to perform a new installation.",
TK1612,12/7/2020,SAP_S4HANA,Upgrading to SLES15 versus fresh installation,"we operate the SAP systems for some companies.

Some of our customers are currently running S/4HANA 1909 on ppc64le with SLES12.

You know it is a prerequisite to have SLES15 installed when you want to upgrade to S/4HANA 2021.

We are now having discussions what is the best way to get to SLES15.

Should the os-guys do a fresh installation or should they perform an inplace upgrade from SLES12 to SLES15?

SAP provides a SAP note ...

2578899 - SUSE Linux Enterprise Server 15: Installation Note

with section ..

Upgrading SUSE Linux Enterprise Server 15

stating that an upgrade is supported:

For upgrading SUSE Linux Enterprise Server see the Upgrade Guide for your targeted Service Pack: https://documentation.suse.com/

The document includes the upgrade form SLES 12 to SLES 15 as well as upgrading from one Service Pack to another.

But on the other hand, following the link to SUSE documentation ...

https://documentation.suse.com/sles/15-SP3/html/SLES-all/cha-upgrade-paths.html#sec-upgrade-vs-fresh-install

it is stated that SUSE recommends fresh installation in most scenarios.

There is the following section in the upgrade guide:

1.1 Upgrading versus fresh installation Report Documentation Bug #Edit source

Upgrades between two major releases of SUSE Linux Enterprise Server are supported by SUSE.

Whether it is better to upgrade or perform a fresh installation depends on your specific scenario.

While upgrades involve less work, fresh installations ensure you benefit from all the new features of a release such as disk layout changes,

specific filesystem features, and other improvements.

To get the most out of your system, SUSE therefore recommends fresh installations in most scenarios.

Are the features which are mentioned (disk layout changes, specific filesystem features, and other improvements) used by SAP so that it would make sense to do a fresh installation?

As a SAP basis guy I personally would prefer an inplace upgrade if there is not anything against it.

Are there any concerns?

What is your recommendation?

Do you maybe have already successfully upgraded SLES12 to SLES15?",,"How about taking a VM snapshot (non-prd first), doing an in-place upgrade, see how it works. If not successful, roll back to the snapshot and do a fresh installation later.

How about booting from PXE, then you can decide what you boot at boot time?

How about using a boot disk, exchanging it to SLES15? This way you can do the switch in almost zero time.

I agree with starting to test on a snapshot or backup of an existing SLES12 LPAR in non-prod.

It is my opinion that an in-place upgrade is a good approach if your OS admins do not plan to make any changes to the partitioning layout and sizes or filesystem types used for the OS.

I would consider disabling any automatic starting of HANA, unmounting the HANA filesystems and commenting the automatic mounting of the HANA filesytems during reboot. Temporarily disabling these will get them out of the way of reboots during the offline OS upgrade.

Be sure to understand the supported upgrade paths to 15 SP3 because your post did not mention what SLES 12 SP level you are currently at. Follow all of the steps in the offline upgrade including the post-upgrade checks.

I would manually do the first LPAR but consider looking at automation tools if you have many LPARs to upgrade. SUSE has a very good tool for centralized Linux systems management.",
TK1613,12/8/2020,SAP_LINUX,How to uninstall server components from linux OS,Please guide me to uninstall Server components from linux os. I want to update server components from version 9 to version 10. Or else give me the ideas to update.,,"First of all, you should think about some considerations. First, the SLES upgrade!

SAP B1 9.3 operates on the SAP HANA Platform 1.0 version, which is compatible with, at most, SLES version 12 SP 4.

While SAP B1 10.0 works with the SAP HANA Platform 2.0 version, which is compatible with SLES version 15 SP 1.

According to SAP guides:

https://help.sap.com/doc/4e7c047f2c9e4cbe97800ffaf7b68f8e/10.0/en-US/B1_for_SAP_HANA_Admin_Guide.pdf https://help.sap.com/doc/6bdf40d706f940a7a5eb192dc93cdaeb/9.3/en-US/B1_for_SAP_HANA_Admin_Guide.pdf

Such an upgrade can give you some ""headaches"". Ideally, you should do a fresh installation of SLES. But if you want to continue with the upgrade, removing the server components, you must uninstall SAP B1 for HANA as SAP note: https://launchpad.support.sap.com/#/notes/2538555

And uninstall HANA Platform 1.0 as described by SAP: https://help.sap.com/viewer/2c1988d620e04368aa4103bf26f17727/1.0.12/en-US/fe260325282d458f9304071e1857d5ba.html",
TK1614,12/9/2020,SAP_HANA,Is it possible to install SBO 9.3 PL07 for HANA on SUSE 12 SP5 or SUSE 15 SP2?,"1. I know SBO 9.3 PL07 can be installed on SAP HANA Platform Edition 1.0 SPS 12 Revision 122.27 (B1_for_SAP_HANA_Admin_Guide.pdf).

2. I follow the SAP HANA: Supported Operating Systems, it told me can be installed on SUSE 12 SP3

But my customer want to know exactly, is it possible install SBO9.3 PL07 for HANA on SUSE 12 SP5 or SUSE 15 SP2 ?",,"First of all, you should think about some considerations. First, the SLES upgrade!

SAP B1 9.3 operates on the SAP HANA Platform 1.0 version, which is compatible with, at most, SLES version 12 SP 4.

While SAP B1 10.0 works with the SAP HANA Platform 2.0 version, which is compatible with SLES version 15 SP 2.

According to SAP guides:

https://help.sap.com/doc/4e7c047f2c9e4cbe97800ffaf7b68f8e/10.0/en-US/B1_for_SAP_HANA_Admin_Guide.pdf https://help.sap.com/doc/6bdf40d706f940a7a5eb192dc93cdaeb/9.3/en-US/B1_for_SAP_HANA_Admin_Guide.pdf

Such an upgrade can give you some ""headaches"". Ideally, you should do a fresh installation of SLES. But if you want to continue with the upgrade, removing the server components, you must uninstall SAP B1 for HANA as SAP note: https://launchpad.support.sap.com/#/notes/2538555

And uninstall HANA Platform 1.0 as described by SAP: https://help.sap.com/viewer/2c1988d620e04368aa4103bf26f17727/1.0.12/en-US/fe260325282d458f9304071e1857d5ba.html",
TK1615,12/10/2020,SAP_HANA,S/4 HANA 2021 compatibility to HANA DB OS,"SAP S/4HANA 2021 FPS02 clearly states the minimum SAP HANA 2.0 SPS 05 Rev 56 is supported. However, it also clearly says SUSE 15 or RHEL 8 or higher is required on the OS of the Hana DB.

My scenario is I have HANA appliances with SLES 12 SP5 running HANA 2.0 SPS05 Rev 59 and We want to install S/4HANA 2021 but It would require an OS upgrade?",,"As a summary, following checks before setup of hana server are important to get into trouble during upgrade/installation:

SAP APPL / HANA DB Server: PAM of S/4HANA release regarding supported OS release
check minimum HANA rev for the target S/4 stack in Release Information Note of your SAP S/4HANA target stack or the relevant Feature Pack Stack version <xx> (for example 3138483 - SAP S/4HANA 2021 Feature Package Stack 01: Additional Release Information
via SAP S/4HANA | SAP Help Portal - > Install/upgrade guides-> SAP S/4HANA 2021 Feature Package Stack XX: Additional Release Information note (note numbers are normally linked in the installation/upgrade guides in chapter ""Installation Documentation"")
DB Server: check conditions in 2235581 - SAP HANA: Supported Operating Systems
RHEL only: 3057467 - Which compat-sap-c++ package do I need for SAP on RHEL? - SAP ONE Support Launchpad
check 2655761 - SAP S/4HANA - restrictions and recommendations regarding specific revisions of SAP HANA database for use in SAP S/4HANA - SAP ONE Support Launchpad",
TK1616,12/11/2020,SAP_S4HANA,Connection between S/4HANA releases and HANA DB SPS,"Can you please help me understanding maintenance relationship between S/4HANA and HANA 2.0 DB?

Does HANA DB maintenance support end-date differs if it is packaged in S/4HANA?

I think I understand HANA 2.0 DB maintenance cycle:

SPS01-03 ended

SPS04 April 2021

SPS05 June 2025 (long term supported SPS)

While

S/4HANA 1709 End of 2022 (it came with HANA 2.0 SPS01 if I am not mitaken)

S/4HANA 1809 End of 2023

S/4HANA 1909 End of 2024

May I or should I upgrade to HANA 2.0 SPS04 or 05 while still keep using S/4HANA 1709 until it is still supported?",,,
TK1617,12/12/2020,WIN_OS,"Windows Boot Manager error - 0xC0000225 ""Status not found""","Windows Boot Manager states ""Windows failed to start. A recent hardware or software change might be the cause.""
""The operating system couldn't be loaded because a critical system driver is missing or contains errors.""",,"Create and access a Repair VM.
Select a Solution:
1. Repair the System File
2. Add the OSDevice Variable
Enable serial console and memory dump collection.
Rebuild the VM.",
TK1618,12/13/2020,WIN_OS,Unable to refresh or reset PC after Automatic Repair fails in Windows 8,After automatic repair fail unable to reset or restore the PC,,"1. After Automatic Repair fails to repair your PC, select Advanced options and then Troubleshoot.
